sample_index,CH2,CH3,CH4
74,-0.014869009323628748,-0.007419897758072738,-0.0852193015546905
75,-0.014493453851161419,-0.006216198878172849,-0.08538717693939808
76,-0.013612935864409483,-0.005939067734420352,-0.085946274196651
77,-0.01205929102987086,-0.006440173327045113,-0.08680286986775707
78,-0.009875975363505603,-0.007659876378267378,-0.08780842805159819
79,-0.007195740590500754,-0.009472938433429046,-0.08884605099174923
80,-0.004253604117517991,-0.011758719111009553,-0.08985386794190693
81,-0.0013807137271919794,-0.014465923784469698,-0.09087376792929937
82,0.001059643976130009,-0.017600239874462888,-0.09198047021897958
83,0.0028454215777799063,-0.021214187028116116,-0.0932403017366171
84,0.003928299361687979,-0.0253517699422855,-0.09476937120876662
85,0.004195934274961011,-0.030184308850244656,-0.09670708085560493
86,0.003506419363956464,-0.03591875053719402,-0.0990790833753603
87,0.0017872116018306987,-0.04270104068461443,-0.10192748234591478
88,-0.0009086331092335582,-0.050553521955894194,-0.1052554952660325
89,-0.004371560886492806,-0.0593947227407577,-0.10900070298763007
90,-0.008377331254398466,-0.06906009957412308,-0.11309486894443936
91,-0.012693470341574928,-0.07924093385297815,-0.11742271657480216
92,-0.0169557382529762,-0.08942523808151995,-0.12185733448492331
93,-0.020861724979196375,-0.09919547259235395,-0.12631811217053487
94,-0.02430598606321567,-0.10837677380077589,-0.13067961642513776
95,-0.027266714288959812,-0.11680241841457588,-0.13483451001056343
96,-0.029828246397852472,-0.12440288981385474,-0.13877311194634243
97,-0.03199579593619856,-0.13109143711941834,-0.14243088112650898
98,-0.03367418631539585,-0.13676666373766547,-0.14578514274871138
99,-0.03492302230028334,-0.1414964162265961,-0.14886319454690608
100,-0.03585102288229027,-0.14539959678608924,-0.15164856059491855
101,-0.03648880111046522,-0.1486234453705924,-0.15413113073964416
102,-0.03691977180158403,-0.15140471109185968,-0.1563039657917471
103,-0.03730122774505893,-0.15397282020450284,-0.15816196238149782
104,-0.03770129316454454,-0.15639510836991577,-0.15973546998247407
105,-0.03814450935570088,-0.15875703106376898,-0.16106952465088592
106,-0.03849863353134607,-0.16095017537412845,-0.16216941805751917
107,-0.038780863680964214,-0.16296578736712625,-0.1630785173212716
108,-0.039178978353911154,-0.16494371602111438,-0.16385804711127708
109,-0.03975067490075917,-0.16688218966171514,-0.1645508500186031
110,-0.040414604933659955,-0.16868478442751275,-0.16520792254731034
111,-0.04123428320418917,-0.17037033482408717,-0.16587353779338587
112,-0.042312897313713536,-0.1719950389589648,-0.16658357651453262
113,-0.04359119231251279,-0.17352265663973404,-0.16730947491558396
114,-0.044972783519900715,-0.17485196157372138,-0.16797159993242866
115,-0.04633115013671934,-0.17587420025241499,-0.1685196201446507
116,-0.04764117873840366,-0.17662278477719956,-0.16894795530134063
117,-0.048795072320833396,-0.17704846411247274,-0.1692408685158267
118,-0.0495850252148607,-0.17701418105569416,-0.16936190432140624
119,-0.04990130126544825,-0.176468947521884,-0.1692701488204233
120,-0.04975184773578973,-0.17547080084955952,-0.16892778755417165
121,-0.04917067898373383,-0.17408571431115671,-0.16834628718721756
122,-0.04822455218280357,-0.17243115959861763,-0.16755001282793708
123,-0.047092853450299225,-0.17069865441171478,-0.1666473959829071
124,-0.045994037759599524,-0.1691179315473326,-0.16580508997989582
125,-0.045087909100234094,-0.16776497786062405,-0.16506574662617907
126,-0.04436842747195053,-0.166637885442017,-0.16434641880391573
127,-0.04370306384953929,-0.16568512125211976,-0.1634102363396209
128,-0.04292212768779586,-0.16474517315423096,-0.16181214192914034
129,-0.04189887557365859,-0.16360227174891132,-0.15895699375235056
130,-0.040535237898915645,-0.16196374060628319,-0.15423765753068408
131,-0.038478641132773224,-0.15922409808380136,-0.1469486751493921
132,-0.035247702111752814,-0.1544515696450424,-0.1361997663867831
133,-0.030142582643273564,-0.14648485175457265,-0.1207932817500034
134,-0.02240832214639092,-0.1339813405562851,-0.09937123523034481
135,-0.011521448607198885,-0.11557860939031041,-0.07050659478811358
136,0.002782428440980798,-0.09013391731418945,-0.03273604106935236
137,0.020607132486215228,-0.05680666788129192,0.014939901881109597
138,0.041879930096670175,-0.014747034439405723,0.07283685392858538
139,0.06630508697585205,0.037140108350495256,0.14044975040962385
140,0.09354379453840601,0.09992904122863693,0.21699717565479712
141,0.12303185914821706,0.1734367614378129,0.3014438458633407
142,0.15407424304356648,0.25626140217898036,0.3920994459540854
143,0.18496180286911437,0.3463256567373911,0.4865132485408834
144,0.2126590248783252,0.44045729797253685,0.5815312390309197
145,0.2339867083833608,0.5336661228011175,0.6724065519581341
146,0.24637829315642504,0.620201100302781,0.7528662281932766
147,0.2480103856700818,0.6955929379905591,0.8167174411027422
148,0.23805866173598195,0.7551341972476903,0.8585085359797399
149,0.2163806426002523,0.7926860763165502,0.8732959758553882
150,0.18289628340113512,0.8015336859634203,0.8560908765431613
151,0.13785671862337304,0.7777742503697865,0.8034329986019845
152,0.0820240615174142,0.7209090664749986,0.715152517794617
153,0.017914741243056462,0.6319235189298666,0.5932783778093353
154,-0.049368797660083945,0.5134190277660068,0.4412050649103089
155,-0.11416691046602091,0.37098511342231805,0.26516744160182815
156,-0.17193947085625666,0.21212181275856018,0.07405940543537212
157,-0.21986153596883434,0.042678999331377684,-0.1226424271177807
158,-0.25687459050439826,-0.13103088714505198,-0.31583725883628994
159,-0.282288396433399,-0.3002894907291157,-0.4957022894286019
160,-0.29511291226868225,-0.4551915735920503,-0.6516548784999873
161,-0.29486494268762703,-0.588612199467746,-0.7756715709879233
162,-0.2821495620430428,-0.6977201809135226,-0.8651213208427866
163,-0.2588635013299784,-0.781420154189634,-0.9205219242473885
